model,dataset,found,auc_roc-mean,auc_roc-std:
AE,ex1_fraud_2,50.0,0.602712082981147,0.1789205162277114
OCSVM,ex1_fraud_2,50.0,0.5420817268074459,0.1256019625580066
NALU,ex1_fraud_2,50.0,0.642412542415464,0.1798981960433335
AE,ex1_fraud_3,86.0,0.6579188982992815,0.148540998868709
OCSVM,ex1_fraud_3,86.0,0.5790078793285339,0.1302546978063639
NALU,ex1_fraud_3,86.0,0.7940612878343126,0.13436030638988947
