n_components,random_state,standardization,weighted,whiten,algorithm,max_fraud_eval,min_detect_eval,max_fraud_test,min_detect_test,fraud_ranks_eval,rank_mean_eval,rank_std_eval,fraud_ranks_test,rank_mean_test,rank_std_test,auc_pr_eval,auc_pr_test,auc_roc_eval,auc_roc_test
0.8,0.0,0.0,0.0,0.0,PCA,-43.399742162769805,36778.0,-45.08578739307311,37407.0,"[1, 2, 8, 9, 80, 141, 142, 174, 175, 199, 481, 484, 560, 561, 568, 569, 627, 628, 716, 717, 768, 769, 832, 838, 870, 871, 875, 877, 942, 950, 992, 998, 1022, 1026, 1619, 1710, 5245, 5450, 5472, 5835, 8616, 10104, 36247, 36475, 36476, 36774, 36775, 36776, 36777, 36778]",7132.02,13047.69973671988,"[2, 3, 6, 7, 9, 10, 21, 22, 24, 25, 52, 53, 59, 60, 82, 83, 88, 89, 162, 163, 198, 199, 297, 299, 329, 332, 404, 405, 458, 459, 477, 478, 559, 560, 563, 564, 618, 620, 641, 643, 713, 717, 766, 767, 777, 779, 807, 809, 834, 835, 917, 918, 922, 923, 1024, 1036, 1052, 1057, 1082, 1083, 1256, 1257, 1264, 1284, 2555, 2642, 2788, 2789, 2814, 2815, 2903, 3143, 4937, 5412, 9142, 9905, 22163, 22164, 25190, 25191, 37401, 37402, 37403, 37404, 37406, 37407]",4697.418604651163,10271.863283413688,0.0779311831206777,0.1138752915387429,0.8065094750598998,0.8753002705004913
0.05,0.0,0.0,1.0,0.0,PCA,-24.669223740240728,36778.0,-25.05911342811731,37407.0,"[2, 3, 9, 10, 82, 137, 139, 169, 170, 198, 480, 482, 558, 565, 572, 574, 629, 632, 715, 718, 754, 761, 899, 921, 929, 930, 950, 951, 1241, 1632, 1910, 1982, 1991, 2145, 4642, 4765, 10051, 14478, 14480, 21298, 21311, 21413, 22551, 22690, 22691, 36477, 36478, 36479, 36777, 36778]",7763.98,11985.520231496002,"[3, 4, 7, 8, 10, 11, 22, 23, 25, 26, 50, 51, 62, 65, 83, 84, 90, 91, 161, 162, 199, 200, 296, 299, 329, 332, 405, 406, 460, 461, 473, 476, 533, 534, 538, 539, 620, 624, 636, 639, 708, 720, 759, 767, 780, 785, 809, 818, 847, 857, 1020, 1021, 1089, 1090, 2215, 2240, 2258, 2262, 2780, 2781, 4639, 4640, 4758, 4991, 9150, 9172, 9173, 9207, 9295, 9296, 9308, 9721, 9724, 14004, 21196, 21230, 21231, 21255, 21493, 21494, 21626, 22692, 22693, 30323, 37406, 37407]",5276.360465116279,8807.045397060176,0.0567173511335579,0.1001953285356763,0.7893029840993248,0.8597877745742001
0.95,0.0,0.0,1.0,1.0,PCA,-3366.656497769284,36778.0,-3495.9039854382827,37407.0,"[2, 3, 9, 10, 80, 141, 142, 169, 170, 202, 480, 481, 557, 558, 564, 565, 622, 623, 713, 714, 755, 756, 823, 825, 855, 856, 857, 858, 904, 905, 919, 920, 958, 963, 1052, 1056, 2440, 2445, 2699, 3003, 3048, 4557, 9194, 36475, 36476, 36477, 36775, 36776, 36777, 36778]",6099.74,12410.080906762858,"[3, 4, 7, 8, 10, 11, 22, 23, 25, 26, 50, 51, 60, 61, 81, 82, 89, 90, 160, 161, 199, 200, 299, 300, 329, 330, 405, 406, 459, 460, 478, 479, 535, 536, 537, 538, 619, 620, 638, 639, 713, 714, 757, 758, 777, 778, 796, 797, 821, 822, 906, 907, 908, 909, 941, 944, 957, 958, 1031, 1032, 1033, 1034, 1068, 1069, 1543, 1546, 1587, 1588, 1592, 1593, 2129, 2142, 2691, 2706, 3452, 3486, 4924, 4925, 4982, 4983, 5964, 5966, 37404, 37405, 37406, 37407]",2777.686046511628,7767.748762884499,0.0613932958624733,0.1104652231701562,0.834615552167284,0.9267386713509383
0.95,0.0,0.0,1.0,0.0,PCA,-3366.656497769284,36778.0,-3495.9039854382827,37407.0,"[2, 3, 9, 10, 80, 141, 142, 169, 170, 202, 480, 481, 557, 558, 564, 565, 622, 623, 713, 714, 755, 756, 823, 825, 855, 856, 857, 858, 904, 905, 919, 920, 958, 963, 1052, 1056, 2440, 2445, 2699, 3003, 3048, 4557, 9194, 36475, 36476, 36477, 36775, 36776, 36777, 36778]",6099.74,12410.080906762858,"[3, 4, 7, 8, 10, 11, 22, 23, 25, 26, 50, 51, 60, 61, 81, 82, 89, 90, 160, 161, 199, 200, 299, 300, 329, 330, 405, 406, 459, 460, 478, 479, 535, 536, 537, 538, 619, 620, 638, 639, 713, 714, 757, 758, 777, 778, 796, 797, 821, 822, 906, 907, 908, 909, 941, 944, 957, 958, 1031, 1032, 1033, 1034, 1068, 1069, 1543, 1546, 1587, 1588, 1592, 1593, 2129, 2142, 2691, 2706, 3452, 3486, 4924, 4925, 4982, 4983, 5964, 5966, 37404, 37405, 37406, 37407]",2777.686046511628,7767.748762884499,0.0613932958624733,0.1104652231701562,0.834615552167284,0.9267386713509383
0.95,0.0,0.0,0.0,1.0,PCA,-86.49202535681304,36778.0,-89.98890440723618,37407.0,"[1, 2, 8, 9, 80, 141, 142, 168, 169, 199, 480, 481, 557, 558, 565, 567, 625, 628, 713, 714, 755, 756, 826, 830, 862, 863, 864, 865, 910, 912, 940, 944, 997, 1001, 1058, 1065, 2530, 2635, 3983, 5439, 5531, 5625, 29462, 36475, 36476, 36774, 36775, 36776, 36777, 36778]",6665.82,12812.11936830125,"[2, 3, 6, 8, 9, 11, 21, 22, 24, 25, 49, 51, 59, 61, 80, 81, 88, 89, 159, 160, 198, 199, 297, 300, 328, 330, 404, 405, 458, 459, 477, 478, 537, 538, 541, 542, 618, 619, 637, 638, 714, 715, 762, 763, 776, 779, 799, 800, 823, 824, 908, 909, 912, 913, 966, 976, 997, 1000, 1068, 1069, 1073, 1074, 1081, 1085, 1828, 1880, 2150, 2151, 2242, 2243, 2808, 2820, 2865, 2868, 5785, 5826, 5889, 5890, 5961, 5962, 15006, 22547, 37404, 37405, 37406, 37407]",3234.186046511628,8156.650161010194,0.0792018771958795,0.1150419467823848,0.8192027880636028,0.9145069519436342
0.95,0.0,0.0,0.0,0.0,PCA,-86.49202535681304,36778.0,-89.98890440723618,37407.0,"[1, 2, 8, 9, 80, 141, 142, 168, 169, 199, 480, 481, 557, 558, 565, 567, 625, 628, 713, 714, 755, 756, 826, 830, 862, 863, 864, 865, 910, 912, 940, 944, 997, 1001, 1058, 1065, 2530, 2635, 3983, 5439, 5531, 5625, 29462, 36475, 36476, 36774, 36775, 36776, 36777, 36778]",6665.82,12812.11936830125,"[2, 3, 6, 8, 9, 11, 21, 22, 24, 25, 49, 51, 59, 61, 80, 81, 88, 89, 159, 160, 198, 199, 297, 300, 328, 330, 404, 405, 458, 459, 477, 478, 537, 538, 541, 542, 618, 619, 637, 638, 714, 715, 762, 763, 776, 779, 799, 800, 823, 824, 908, 909, 912, 913, 966, 976, 997, 1000, 1068, 1069, 1073, 1074, 1081, 1085, 1828, 1880, 2150, 2151, 2242, 2243, 2808, 2820, 2865, 2868, 5785, 5826, 5889, 5890, 5961, 5962, 15006, 22547, 37404, 37405, 37406, 37407]",3234.186046511628,8156.650161010194,0.0792018771958795,0.1150419467823848,0.8192027880636028,0.9145069519436342
0.05,0.0,0.0,0.0,1.0,PCA,-6.072960768989478,36778.0,-6.168942093884013,37407.0,"[2, 3, 9, 10, 82, 137, 139, 169, 170, 198, 480, 482, 558, 565, 572, 574, 629, 632, 715, 718, 754, 761, 899, 921, 929, 930, 950, 951, 1241, 1632, 1910, 1982, 1991, 2145, 4642, 4765, 10051, 14478, 14480, 21298, 21311, 21413, 22551, 22690, 22691, 36477, 36478, 36479, 36777, 36778]",7763.98,11985.520231496002,"[3, 4, 7, 8, 10, 11, 22, 23, 25, 26, 50, 51, 62, 65, 83, 84, 90, 91, 161, 162, 199, 200, 296, 299, 329, 332, 405, 406, 460, 461, 473, 476, 533, 534, 538, 539, 620, 624, 636, 639, 708, 720, 759, 767, 780, 785, 809, 818, 847, 857, 1020, 1021, 1089, 1090, 2215, 2240, 2258, 2262, 2780, 2781, 4639, 4640, 4758, 4991, 9150, 9172, 9173, 9207, 9295, 9296, 9308, 9721, 9724, 14004, 21196, 21230, 21231, 21255, 21493, 21494, 21626, 22692, 22693, 30323, 37406, 37407]",5276.360465116279,8807.045397060176,0.0567173511335579,0.1001953285356763,0.7893029840993248,0.8597877745742001
0.05,0.0,0.0,0.0,0.0,PCA,-6.072960768989478,36778.0,-6.168942093884013,37407.0,"[2, 3, 9, 10, 82, 137, 139, 169, 170, 198, 480, 482, 558, 565, 572, 574, 629, 632, 715, 718, 754, 761, 899, 921, 929, 930, 950, 951, 1241, 1632, 1910, 1982, 1991, 2145, 4642, 4765, 10051, 14478, 14480, 21298, 21311, 21413, 22551, 22690, 22691, 36477, 36478, 36479, 36777, 36778]",7763.98,11985.520231496002,"[3, 4, 7, 8, 10, 11, 22, 23, 25, 26, 50, 51, 62, 65, 83, 84, 90, 91, 161, 162, 199, 200, 296, 299, 329, 332, 405, 406, 460, 461, 473, 476, 533, 534, 538, 539, 620, 624, 636, 639, 708, 720, 759, 767, 780, 785, 809, 818, 847, 857, 1020, 1021, 1089, 1090, 2215, 2240, 2258, 2262, 2780, 2781, 4639, 4640, 4758, 4991, 9150, 9172, 9173, 9207, 9295, 9296, 9308, 9721, 9724, 14004, 21196, 21230, 21231, 21255, 21493, 21494, 21626, 22692, 22693, 30323, 37406, 37407]",5276.360465116279,8807.045397060176,0.0567173511335579,0.1001953285356763,0.7893029840993248,0.8597877745742001
0.2,0.0,0.0,1.0,1.0,PCA,-24.669223740240728,36778.0,-25.05911342811731,37407.0,"[2, 3, 9, 10, 82, 137, 139, 169, 170, 198, 480, 482, 558, 565, 572, 574, 629, 632, 715, 718, 754, 761, 899, 921, 929, 930, 950, 951, 1241, 1632, 1910, 1982, 1991, 2145, 4642, 4765, 10051, 14478, 14480, 21298, 21311, 21413, 22551, 22690, 22691, 36477, 36478, 36479, 36777, 36778]",7763.98,11985.520231496002,"[3, 4, 7, 8, 10, 11, 22, 23, 25, 26, 50, 51, 62, 65, 83, 84, 90, 91, 161, 162, 199, 200, 296, 299, 329, 332, 405, 406, 460, 461, 473, 476, 533, 534, 538, 539, 620, 624, 636, 639, 708, 720, 759, 767, 780, 785, 809, 818, 847, 857, 1020, 1021, 1089, 1090, 2215, 2240, 2258, 2262, 2780, 2781, 4639, 4640, 4758, 4991, 9150, 9172, 9173, 9207, 9295, 9296, 9308, 9721, 9724, 14004, 21196, 21230, 21231, 21255, 21493, 21494, 21626, 22692, 22693, 30323, 37406, 37407]",5276.360465116279,8807.045397060176,0.0567173511335579,0.1001953285356763,0.7893029840993248,0.8597877745742001
0.2,0.0,0.0,1.0,0.0,PCA,-24.669223740240728,36778.0,-25.05911342811731,37407.0,"[2, 3, 9, 10, 82, 137, 139, 169, 170, 198, 480, 482, 558, 565, 572, 574, 629, 632, 715, 718, 754, 761, 899, 921, 929, 930, 950, 951, 1241, 1632, 1910, 1982, 1991, 2145, 4642, 4765, 10051, 14478, 14480, 21298, 21311, 21413, 22551, 22690, 22691, 36477, 36478, 36479, 36777, 36778]",7763.98,11985.520231496002,"[3, 4, 7, 8, 10, 11, 22, 23, 25, 26, 50, 51, 62, 65, 83, 84, 90, 91, 161, 162, 199, 200, 296, 299, 329, 332, 405, 406, 460, 461, 473, 476, 533, 534, 538, 539, 620, 624, 636, 639, 708, 720, 759, 767, 780, 785, 809, 818, 847, 857, 1020, 1021, 1089, 1090, 2215, 2240, 2258, 2262, 2780, 2781, 4639, 4640, 4758, 4991, 9150, 9172, 9173, 9207, 9295, 9296, 9308, 9721, 9724, 14004, 21196, 21230, 21231, 21255, 21493, 21494, 21626, 22692, 22693, 30323, 37406, 37407]",5276.360465116279,8807.045397060176,0.0567173511335579,0.1001953285356763,0.7893029840993248,0.8597877745742001
