n_components,random_state,standardization,weighted,whiten,algorithm,fraud_ranks_eval,rank_mean_eval,rank_std_eval,max_fraud_eval,min_detect_eval,auc_pr_eval,auc_roc_eval,fraud_ranks_test,rank_mean_test,rank_std_test,max_fraud_test,min_detect_test,auc_pr_test,auc_roc_test,max_fraud_joint,min_detect_joint,fraud_ranks_joint,rank_mean_joint,rank_std_joint,auc_pr_joint,auc_roc_joint
0.8,0.0,0.0,0.0,0.0,PCA,"[1, 2, 4, 5, 7, 8, 26, 27, 29, 30, 33, 34, 39, 40, 4198, 4201, 4237, 4240]",953.3888888888888,1745.6125680271443,-26.38539373699544,4240.0,0.4227076714878268,0.95207712789963,"[1, 2, 3, 4, 4166, 4410]",1431.0,2021.4318357705424,-26.17568263457887,4410.0,0.6670934560414019,0.9275748351090816,-26.17568263457887,8823.0,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 30, 31, 33, 34, 37, 38, 43, 44, 8217, 8224, 8397, 8414, 8422, 8823]",2118.6666666666665,3637.277629705431,0.5258783433068184,0.9465521325009728
0.05,0.0,0.0,1.0,0.0,PCA,"[1, 2, 4, 5, 7, 8, 26, 27, 29, 30, 33, 34, 39, 40, 7359, 7362, 8323, 8326]",1758.611111111111,3259.9281372258106,-17.10873309424876,8326.0,0.4223063812208357,0.9111946024009387,"[1, 2, 3, 4, 7994, 8240]",2707.333333333333,3825.8712152339294,-17.014184572108782,8240.0,0.666892270740272,0.8628192119059699,-17.014184572108782,16585.0,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 30, 31, 33, 34, 37, 38, 43, 44, 14767, 14771, 16286, 16427, 16431, 16585]",3984.0833333333335,6878.190065445188,0.5255785672887097,0.8992137407163039
0.95,0.0,0.0,1.0,1.0,PCA,"[2, 3, 5, 6, 8, 9, 27, 28, 30, 31, 34, 35, 40, 41, 17496, 17499, 19676, 19677]",4147.055555555556,7735.553994900733,-6916.997822988205,19677.0,0.3460530336952301,0.7899291452297138,"[1, 2, 3, 4, 19641, 19716]",6561.166666666667,9275.380664545375,-6832.8770919969575,19716.0,0.666759815147716,0.6672924065618129,-6832.8770919969575,39429.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 31, 32, 34, 35, 38, 39, 44, 45, 34977, 34985, 39303, 39304, 39322, 39429]",9486.875,16428.797722577725,0.495601492412854,0.7595702431101863
0.95,0.0,0.0,1.0,0.0,PCA,"[2, 3, 5, 6, 8, 9, 27, 28, 30, 31, 34, 35, 40, 41, 17496, 17499, 19676, 19677]",4147.055555555556,7735.553994900733,-6916.997822988205,19677.0,0.3460530336952301,0.7899291452297138,"[1, 2, 3, 4, 19641, 19716]",6561.166666666667,9275.380664545375,-6832.8770919969575,19716.0,0.666759815147716,0.6672924065618129,-6832.8770919969575,39429.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 31, 32, 34, 35, 38, 39, 44, 45, 34977, 34985, 39303, 39304, 39322, 39429]",9486.875,16428.797722577725,0.495601492412854,0.7595702431101863
0.95,0.0,0.0,0.0,1.0,PCA,"[2, 3, 5, 6, 8, 9, 27, 28, 30, 31, 34, 35, 40, 41, 7373, 7375, 11146, 11211]",2078.0,3950.775830981386,-78.949667653286,11211.0,0.3462632709853649,0.8949786758732737,"[1, 2, 3, 4, 19682, 19716]",6568.0,9285.024376202073,-77.9050739377721,19716.0,0.6667597267645026,0.6669457128361238,-77.9050739377721,39429.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 31, 32, 34, 35, 38, 39, 44, 45, 14684, 14691, 22533, 22661, 39373, 39429]",6405.666666666667,12201.113076500667,0.4956993426342885,0.8377615929892233
0.95,0.0,0.0,0.0,0.0,PCA,"[2, 3, 5, 6, 8, 9, 27, 28, 30, 31, 34, 35, 40, 41, 7373, 7375, 11146, 11211]",2078.0,3950.775830981386,-78.949667653286,11211.0,0.3462632709853649,0.8949786758732737,"[1, 2, 3, 4, 19682, 19716]",6568.0,9285.024376202073,-77.9050739377721,19716.0,0.6667597267645026,0.6669457128361238,-77.9050739377721,39429.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 31, 32, 34, 35, 38, 39, 44, 45, 14684, 14691, 22533, 22661, 39373, 39429]",6405.666666666667,12201.113076500667,0.4956993426342885,0.8377615929892233
0.05,0.0,0.0,0.0,1.0,PCA,"[1, 2, 4, 5, 7, 8, 26, 27, 29, 30, 33, 34, 39, 40, 7359, 7362, 8323, 8326]",1758.611111111111,3259.9281372258106,-6.743853142446594,8326.0,0.4223063812208357,0.9111946024009387,"[1, 2, 3, 4, 7994, 8240]",2707.333333333333,3825.8712152339294,-6.706584377738253,8240.0,0.666892270740272,0.8628192119059699,-6.706584377738253,16585.0,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 30, 31, 33, 34, 37, 38, 43, 44, 14767, 14771, 16286, 16427, 16431, 16585]",3984.0833333333335,6878.190065445188,0.5255785672887097,0.8992137407163039
0.05,0.0,0.0,0.0,0.0,PCA,"[1, 2, 4, 5, 7, 8, 26, 27, 29, 30, 33, 34, 39, 40, 7359, 7362, 8323, 8326]",1758.611111111111,3259.9281372258106,-6.743853142446594,8326.0,0.4223063812208357,0.9111946024009387,"[1, 2, 3, 4, 7994, 8240]",2707.333333333333,3825.8712152339294,-6.706584377738253,8240.0,0.666892270740272,0.8628192119059699,-6.706584377738253,16585.0,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 30, 31, 33, 34, 37, 38, 43, 44, 14767, 14771, 16286, 16427, 16431, 16585]",3984.0833333333335,6878.190065445188,0.5255785672887097,0.8992137407163039
0.2,0.0,0.0,1.0,1.0,PCA,"[1, 2, 4, 5, 7, 8, 26, 27, 29, 30, 33, 34, 39, 40, 7359, 7362, 8323, 8326]",1758.611111111111,3259.9281372258106,-17.10873309424876,8326.0,0.4223063812208357,0.9111946024009387,"[1, 2, 3, 4, 7994, 8240]",2707.333333333333,3825.8712152339294,-17.014184572108782,8240.0,0.666892270740272,0.8628192119059699,-17.014184572108782,16585.0,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 30, 31, 33, 34, 37, 38, 43, 44, 14767, 14771, 16286, 16427, 16431, 16585]",3984.0833333333335,6878.190065445188,0.5255785672887097,0.8992137407163039
0.2,0.0,0.0,1.0,0.0,PCA,"[1, 2, 4, 5, 7, 8, 26, 27, 29, 30, 33, 34, 39, 40, 7359, 7362, 8323, 8326]",1758.611111111111,3259.9281372258106,-17.10873309424876,8326.0,0.4223063812208357,0.9111946024009387,"[1, 2, 3, 4, 7994, 8240]",2707.333333333333,3825.8712152339294,-17.014184572108782,8240.0,0.666892270740272,0.8628192119059699,-17.014184572108782,16585.0,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 30, 31, 33, 34, 37, 38, 43, 44, 14767, 14771, 16286, 16427, 16431, 16585]",3984.0833333333335,6878.190065445188,0.5255785672887097,0.8992137407163039
0.2,0.0,0.0,0.0,1.0,PCA,"[1, 2, 4, 5, 7, 8, 26, 27, 29, 30, 33, 34, 39, 40, 7359, 7362, 8323, 8326]",1758.611111111111,3259.9281372258106,-6.743853142446594,8326.0,0.4223063812208357,0.9111946024009387,"[1, 2, 3, 4, 7994, 8240]",2707.333333333333,3825.8712152339294,-6.706584377738253,8240.0,0.666892270740272,0.8628192119059699,-6.706584377738253,16585.0,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 30, 31, 33, 34, 37, 38, 43, 44, 14767, 14771, 16286, 16427, 16431, 16585]",3984.0833333333335,6878.190065445188,0.5255785672887097,0.8992137407163039
0.2,0.0,0.0,0.0,0.0,PCA,"[1, 2, 4, 5, 7, 8, 26, 27, 29, 30, 33, 34, 39, 40, 7359, 7362, 8323, 8326]",1758.611111111111,3259.9281372258106,-6.743853142446594,8326.0,0.4223063812208357,0.9111946024009387,"[1, 2, 3, 4, 7994, 8240]",2707.333333333333,3825.8712152339294,-6.706584377738253,8240.0,0.666892270740272,0.8628192119059699,-6.706584377738253,16585.0,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 30, 31, 33, 34, 37, 38, 43, 44, 14767, 14771, 16286, 16427, 16431, 16585]",3984.0833333333335,6878.190065445188,0.5255785672887097,0.8992137407163039
0.4,0.0,0.0,1.0,1.0,PCA,"[1, 2, 4, 5, 7, 8, 26, 27, 29, 30, 33, 34, 39, 40, 4206, 4210, 4260, 4264]",956.9444444444443,1752.2863627026206,-48.66659599171312,4264.0,0.4227043106352317,0.9518966061918944,"[1, 2, 3, 4, 4107, 4356]",1412.1666666666667,1994.8653602575675,-48.4435466635829,4356.0,0.6670991406863642,0.9285303568408592,-48.4435466635829,8624.0,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 30, 31, 33, 34, 37, 38, 43, 44, 8272, 8277, 8322, 8590, 8599, 8624]",2126.458333333333,3650.2401630939135,0.5258760339347371,0.9463544045745994
0.4,0.0,0.0,1.0,0.0,PCA,"[1, 2, 4, 5, 7, 8, 26, 27, 29, 30, 33, 34, 39, 40, 4206, 4210, 4260, 4264]",956.9444444444443,1752.2863627026206,-48.66659599171312,4264.0,0.4227043106352317,0.9518966061918944,"[1, 2, 3, 4, 4107, 4356]",1412.1666666666667,1994.8653602575675,-48.4435466635829,4356.0,0.6670991406863642,0.9285303568408592,-48.4435466635829,8624.0,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 30, 31, 33, 34, 37, 38, 43, 44, 8272, 8277, 8322, 8590, 8599, 8624]",2126.458333333333,3650.2401630939135,0.5258760339347371,0.9463544045745994
