algorithm,n_components,random_state,standardization,weighted,whiten,max_fraud_eval,min_detect_eval,max_fraud_test,min_detect_test,fraud_ranks_eval,rank_mean_eval,rank_std_eval,fraud_ranks_test,rank_mean_test,rank_std_test,auc_pr_eval,auc_pr_test,auc_roc_eval,auc_roc_test,max_fraud_joint,min_detect_joint,fraud_ranks_joint,rank_mean_joint,rank_std_joint,auc_pr_joint,auc_roc_joint
PCA,0.8,0.0,0.0,0.0,0.0,-46.004657190048455,12984.0,-78.94036814361587,364.0,"[2, 3, 5, 6, 8, 9, 12, 13, 18, 19, 33, 34, 39, 40, 1572, 1580, 12983, 12984]",1631.111111111111,4043.0137945856527,"[1, 2, 3, 4, 363, 364]",122.83333333333331,170.17972525800155,0.4078892152540463,0.6717096035277853,0.9176679980142612,0.9939455437172332,-46.004657190048455,26347.0,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 16, 17, 22, 23, 37, 38, 43, 44, 579, 580, 3326, 3335, 26346, 26347]",2534.6666666666665,7236.920193624417,0.4573908684461444,0.9359953644961004
PCA,0.05,0.0,0.0,1.0,0.0,-23.166703651094352,12834.0,-40.6239095380494,372.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 5746, 5769, 12105, 12834]",2039.388888888889,4100.701906569559,"[1, 2, 3, 4, 365, 372]",124.5,172.54830241606746,0.3602740338234167,0.6716379437325084,0.8969390287932124,0.9938609842719432,-23.166703651094352,25560.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 581, 589, 11732, 11800, 24546, 25560]",3130.875,7354.523632389456,0.4231715112510252,0.9208654773384763
PCA,0.95,0.0,0.0,1.0,1.0,-3889.261331584265,5530.0,-6738.907968863438,367.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 940, 1011, 3110, 5530]",602.5555555555555,1406.936831173873,"[1, 2, 3, 4, 364, 367]",123.5,171.1244673719493,0.3620692401417471,0.6716808395963709,0.9698895432800794,0.9939117199391172,-3889.261331584265,11155.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 580, 583, 2041, 2169, 6538, 11155]",974.9583333333334,2532.47601961609,0.4240455475336084,0.9755758429342402
PCA,0.95,0.0,0.0,1.0,0.0,-3889.261331584265,5530.0,-6738.907968863438,367.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 940, 1011, 3110, 5530]",602.5555555555555,1406.936831173873,"[1, 2, 3, 4, 364, 367]",123.5,171.1244673719493,0.3620692401417471,0.6716808395963709,0.9698895432800794,0.9939117199391172,-3889.261331584265,11155.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 580, 583, 2041, 2169, 6538, 11155]",974.9583333333334,2532.47601961609,0.4240455475336084,0.9755758429342402
PCA,0.95,0.0,0.0,0.0,1.0,-92.16854270537578,9598.0,-158.70530554875015,363.0,"[2, 4, 5, 7, 8, 10, 12, 14, 18, 20, 33, 35, 39, 41, 1177, 1193, 8743, 9598]",1164.388888888889,2857.472098413189,"[1, 2, 3, 4, 362, 363]",122.5,169.7083282183484,0.3851196297936382,0.6717235133859946,0.94136429280621,0.9939624556062912,-92.16854270537578,19432.0,"[2, 4, 5, 7, 8, 9, 10, 11, 12, 14, 16, 18, 22, 24, 37, 39, 43, 45, 578, 579, 2512, 2545, 17266, 19432]",1801.5833333333333,5046.806819800902,0.4408774648921679,0.9545987074726352
PCA,0.95,0.0,0.0,0.0,0.0,-92.16854270537578,9598.0,-158.70530554875015,363.0,"[2, 4, 5, 7, 8, 10, 12, 14, 18, 20, 33, 35, 39, 41, 1177, 1193, 8743, 9598]",1164.388888888889,2857.472098413189,"[1, 2, 3, 4, 362, 363]",122.5,169.7083282183484,0.3851196297936382,0.6717235133859946,0.94136429280621,0.9939624556062912,-92.16854270537578,19432.0,"[2, 4, 5, 7, 8, 9, 10, 11, 12, 14, 16, 18, 22, 24, 37, 39, 43, 45, 578, 579, 2512, 2545, 17266, 19432]",1801.5833333333333,5046.806819800902,0.4408774648921679,0.9545987074726352
PCA,0.05,0.0,0.0,0.0,1.0,-6.310872923598403,12834.0,-11.066413876377112,372.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 5746, 5769, 12105, 12834]",2039.388888888889,4100.701906569559,"[1, 2, 3, 4, 365, 372]",124.5,172.54830241606746,0.3602740338234167,0.6716379437325084,0.8969390287932124,0.9938609842719432,-6.310872923598403,25560.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 581, 589, 11732, 11800, 24546, 25560]",3130.875,7354.523632389456,0.4231715112510252,0.9208654773384763
PCA,0.05,0.0,0.0,0.0,0.0,-6.310872923598403,12834.0,-11.066413876377112,372.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 5746, 5769, 12105, 12834]",2039.388888888889,4100.701906569559,"[1, 2, 3, 4, 365, 372]",124.5,172.54830241606746,0.3602740338234167,0.6716379437325084,0.8969390287932124,0.9938609842719432,-6.310872923598403,25560.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 581, 589, 11732, 11800, 24546, 25560]",3130.875,7354.523632389456,0.4231715112510252,0.9208654773384763
PCA,0.2,0.0,0.0,1.0,1.0,-23.166703651094352,12834.0,-40.6239095380494,372.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 5746, 5769, 12105, 12834]",2039.388888888889,4100.701906569559,"[1, 2, 3, 4, 365, 372]",124.5,172.54830241606746,0.3602740338234167,0.6716379437325084,0.8969390287932124,0.9938609842719432,-23.166703651094352,25560.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 581, 589, 11732, 11800, 24546, 25560]",3130.875,7354.523632389456,0.4231715112510252,0.9208654773384763
PCA,0.2,0.0,0.0,1.0,0.0,-23.166703651094352,12834.0,-40.6239095380494,372.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 5746, 5769, 12105, 12834]",2039.388888888889,4100.701906569559,"[1, 2, 3, 4, 365, 372]",124.5,172.54830241606746,0.3602740338234167,0.6716379437325084,0.8969390287932124,0.9938609842719432,-23.166703651094352,25560.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 581, 589, 11732, 11800, 24546, 25560]",3130.875,7354.523632389456,0.4231715112510252,0.9208654773384763
PCA,0.2,0.0,0.0,0.0,1.0,-6.310872923598403,12834.0,-11.066413876377112,372.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 5746, 5769, 12105, 12834]",2039.388888888889,4100.701906569559,"[1, 2, 3, 4, 365, 372]",124.5,172.54830241606746,0.3602740338234167,0.6716379437325084,0.8969390287932124,0.9938609842719432,-6.310872923598403,25560.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 581, 589, 11732, 11800, 24546, 25560]",3130.875,7354.523632389456,0.4231715112510252,0.9208654773384763
PCA,0.2,0.0,0.0,0.0,0.0,-6.310872923598403,12834.0,-11.066413876377112,372.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 5746, 5769, 12105, 12834]",2039.388888888889,4100.701906569559,"[1, 2, 3, 4, 365, 372]",124.5,172.54830241606746,0.3602740338234167,0.6716379437325084,0.8969390287932124,0.9938609842719432,-6.310872923598403,25560.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 581, 589, 11732, 11800, 24546, 25560]",3130.875,7354.523632389456,0.4231715112510252,0.9208654773384763
PCA,0.4,0.0,0.0,1.0,1.0,-59.56910248565565,19461.0,-99.99397740422953,366.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 1733, 1736, 19331, 19461]",2362.0,6046.20796679851,"[1, 2, 3, 4, 362, 366]",123.0,170.4190912622957,0.3609121218769273,0.6717009328865139,0.8805595044679122,0.9939370877727044,-59.56910248565565,39021.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 575, 579, 3623, 3628, 38853, 39021]",3608.8333333333335,10697.721021580042,0.4235242032603374,0.9087364022399296
PCA,0.4,0.0,0.0,1.0,0.0,-59.56910248565565,19461.0,-99.99397740422953,366.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 1733, 1736, 19331, 19461]",2362.0,6046.20796679851,"[1, 2, 3, 4, 362, 366]",123.0,170.4190912622957,0.3609121218769273,0.6717009328865139,0.8805595044679122,0.9939370877727044,-59.56910248565565,39021.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 575, 579, 3623, 3628, 38853, 39021]",3608.8333333333335,10697.721021580042,0.4235242032603374,0.9087364022399296
