bootstrap,max_features,max_samples,n_estimators,n_jobs,random_state,fraud_ranks_eval,rank_mean_eval,rank_std_eval,max_fraud_eval,min_detect_eval,auc_pr_eval,auc_roc_eval,fraud_ranks_test,rank_mean_test,rank_std_test,max_fraud_test,min_detect_test,auc_pr_test,auc_roc_test,max_fraud_joint,min_detect_joint,fraud_ranks_joint,rank_mean_joint,rank_std_joint,auc_pr_joint,auc_roc_joint
0.0,0.4,0.4,256.0,-1.0,2.0,"[1, 2, 4, 5, 8, 9, 10, 14, 15, 16, 18, 19, 22, 24, 32, 50, 75, 77]",22.27777777777778,22.183090546018143,-0.6340197891994023,77.0,0.6113450345138942,0.999351250112826,"[85, 86, 99, 101, 142, 196]",118.16666666666669,39.62918397118747,-0.598953441110196,196.0,0.0284585038397507,0.9941823101640452,-0.598953441110196,352.0,"[1, 2, 4, 5, 8, 9, 10, 14, 15, 16, 18, 19, 23, 25, 38, 61, 124, 132, 174, 175, 198, 200, 257, 352]",78.33333333333333,96.51496717550542,0.4680713636149956,0.998329357627434
0.0,0.8,0.8,16.0,-1.0,2.0,"[2, 4, 5, 8, 9, 12, 17, 21, 26, 27, 34, 39, 41, 50, 54, 67, 76, 77]",31.61111111111111,24.095040727384568,-0.6566752724020606,77.0,0.381506996740156,0.9988787909558624,"[17, 22, 69, 87, 196, 505]",149.33333333333334,169.67681698517987,-0.5508397264513264,505.0,0.046096547480853,0.9926010485371216,-0.5508397264513264,1125.0,"[2, 4, 5, 8, 9, 12, 19, 23, 28, 29, 38, 43, 47, 61, 67, 75, 84, 94, 109, 110, 164, 188, 443, 1125]",116.125,229.3589458505307,0.2965934468748846,0.9973708530003892
0.0,0.8,0.8,32.0,-1.0,2.0,"[1, 2, 6, 11, 14, 15, 16, 17, 23, 25, 27, 29, 36, 40, 43, 52, 70, 74]",27.83333333333333,20.726392192886184,-0.6590684841973435,74.0,0.4441729627200689,0.9990691849444896,"[23, 39, 45, 76, 252, 297]",122.0,109.74212196478312,-0.5780870897178523,297.0,0.0423503079681569,0.9939878234398782,-0.5780870897178523,630.0,"[1, 2, 6, 13, 16, 17, 18, 19, 25, 27, 29, 31, 40, 44, 48, 64, 92, 94, 98, 128, 136, 183, 561, 630]",96.75,157.68804911385433,0.3360690680469643,0.9978620007105516
0.0,0.8,0.8,64.0,-1.0,2.0,"[4, 6, 9, 10, 20, 22, 23, 27, 31, 33, 34, 39, 40, 43, 45, 48, 65, 67]",31.444444444444443,17.94504642953104,-0.6664469639583366,67.0,0.3073641674231083,0.9988858425850708,"[21, 37, 63, 81, 188, 206]",99.33333333333331,71.78362549278832,-0.5896315047583877,206.0,0.042399470602436,0.9951378318958228,-0.5896315047583877,462.0,"[4, 6, 9, 10, 22, 24, 25, 29, 33, 36, 37, 42, 43, 46, 48, 54, 81, 83, 91, 121, 161, 182, 412, 462]",85.875,115.30369772185684,0.2449257914980388,0.9981379739126022
0.0,0.8,0.8,128.0,-1.0,2.0,"[9, 12, 13, 14, 21, 23, 26, 28, 30, 31, 32, 36, 40, 41, 45, 46, 63, 67]",32.05555555555556,15.959922800642524,-0.6640972665853029,67.0,0.2796642195664879,0.9988548154165536,"[28, 55, 67, 90, 180, 208]",104.66666666666669,66.24617389370918,-0.5906096254488744,208.0,0.0363204029248805,0.9948672416708948,-0.5906096254488744,460.0,"[11, 14, 15, 16, 23, 25, 29, 31, 33, 34, 35, 39, 44, 45, 53, 56, 80, 85, 108, 151, 165, 191, 387, 460]",88.75,112.31994851019712,0.2121427287678301,0.998065015479876
0.0,0.8,0.8,256.0,-1.0,2.0,"[5, 6, 9, 12, 20, 23, 24, 25, 26, 27, 34, 35, 36, 37, 42, 44, 54, 65]",29.11111111111111,15.72997453162058,-0.6673301822413658,65.0,0.3198585336131515,0.9990043099557722,"[36, 56, 69, 73, 189, 207]",105.0,67.00994951000436,-0.5906778479664305,207.0,0.0362008964351628,0.9948503297818369,-0.5906778479664305,460.0,"[5, 6, 9, 12, 22, 25, 26, 27, 28, 29, 37, 38, 39, 40, 48, 50, 65, 78, 126, 151, 165, 170, 419, 460]",86.45833333333333,116.91057093874026,0.2486366139763058,0.9981231707523388
0.0,0.8,1.0,16.0,-1.0,2.0,"[13, 16, 17, 18, 20, 21, 23, 24, 26, 27, 30, 32, 33, 35, 50, 59, 191, 196]",46.16666666666666,53.302334741443445,-0.6124186622552095,196.0,0.2674380170185372,0.9981496524957126,"[40, 47, 63, 71, 160, 624]",167.5,207.9493127342975,-0.5428201279602266,624.0,0.0353959419821346,0.9916793505834602,-0.5428201279602266,1465.0,"[15, 18, 19, 20, 22, 23, 25, 26, 28, 30, 33, 36, 38, 44, 65, 79, 122, 131, 154, 165, 280, 301, 456, 1465]",149.79166666666666,295.04137833625225,0.1998486924557599,0.996520199969548
0.0,0.8,1.0,32.0,-1.0,2.0,"[14, 19, 24, 26, 27, 30, 32, 33, 35, 36, 37, 41, 42, 43, 44, 53, 70, 86]",38.44444444444444,16.951637817372045,-0.6505515581356067,86.0,0.230936595916622,0.9985318507988086,"[51, 61, 72, 88, 121, 237]",105.0,63.12685640834652,-0.584534152953449,237.0,0.0343591183750263,0.9948503297818366,-0.584534152953449,568.0,"[16, 21, 27, 30, 31, 34, 36, 37, 40, 41, 42, 47, 48, 49, 50, 62, 88, 135, 140, 156, 169, 216, 262, 568]",97.70833333333331,117.73468731526076,0.1749137145494108,0.9978382099172716
0.0,0.8,1.0,64.0,-1.0,2.0,"[14, 19, 20, 22, 23, 28, 29, 30, 34, 35, 36, 37, 39, 40, 45, 46, 68, 73]",35.44444444444444,15.170227502220785,-0.6686434883070658,73.0,0.2494222806012541,0.9986827556638684,"[49, 53, 65, 70, 152, 166]",92.5,47.710061831861005,-0.602113516317174,166.0,0.0384133384623285,0.995484525621512,-0.602113516317174,386.0,"[14, 22, 23, 25, 26, 32, 33, 34, 38, 39, 40, 41, 43, 45, 50, 52, 82, 94, 134, 143, 163, 168, 340, 386]",86.125,94.96416539060054,0.1930053056933387,0.9981316297010608
0.0,0.8,1.0,128.0,-1.0,2.0,"[16, 18, 19, 21, 23, 27, 28, 29, 32, 34, 35, 37, 39, 40, 42, 50, 56, 66]",34.0,13.140268896284685,-0.6689484248449803,66.0,0.2576783450782626,0.998756092607636,"[55, 58, 64, 85, 162, 182]",101.0,51.432804058629095,-0.5962309039164947,182.0,0.0350716051383027,0.9950532724505328,-0.5962309039164947,408.0,"[18, 20, 21, 23, 25, 29, 30, 32, 35, 37, 39, 43, 45, 47, 51, 63, 72, 86, 147, 152, 162, 186, 369, 408]",89.16666666666667,102.427481121469,0.1942185154657291,0.9980544417939738
