model,dataset,found,auc_roc-mean,auc_roc-std:
AE,ex2_fraud_1,24.0,0.8203642933003735,0.2161566954555098
OCSVM,ex2_fraud_1,24.0,0.5816596203073118,0.1225637279850591
NALU,ex2_fraud_1,24.0,0.8588949976006485,0.227660173535021
IF,ex2_fraud_1,24.0,0.7831421856762177,0.2840711870418789
PCA,ex2_fraud_1,24.0,0.5168512105523434,0.123040434709223
